school_name,year,StudentID,First Name,Last Name,Year Level,Class,Subject,Answers,Correct Answers,Question Number,Subject Contents,Assessment Areas,sydney_correct_count_percentage,sydney_average_score,sydney_participants,student_score,student_total_assessed,student_area_assessed_score,total_area_assessed_score,participant,correct_answer_percentage_per_class,average_score,school_percentile,sydney_percentile,strength_status,high_distinct_count,distinct_count,credit_count,participant_count,award
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Science,A,B,17,Subject Content 5 for Science,Assessment Area 5 for Science,15.49,79.06,32,97.21,89,82,31.28,66,94.6,12.1,7,54,E,55,98,82,82,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,B,D,21,Subject Content 1 for Math,Assessment Area 1 for Math,20.6,13.21,98,26.54,80,91.97,56.1,52,81.22,24.98,77,9,E,45,98,49,97,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,D,Z,17,Subject Content 2 for Math,Assessment Area 2 for Math,85.69,82.07,81,22.02,83,21.82,70.88,69,45.47,62.34,66,80,E,53,49,3,68,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,C,B,18,Subject Content 3 for Math,Assessment Area 3 for Math,17.73,38.42,44,32.14,43,55.33,6.64,29,85.79,69.25,100,33,E,3,75,80,42,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,B,B,19,Subject Content 4 for Math,Assessment Area 4 for Math,98.01,4.41,60,18.93,68,11.31,89.72,51,52.74,13.77,15,28,E,56,21,98,24,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,B,D,6,Subject Content 5 for Math,Assessment Area 5 for Math,79.4,73.35,77,14.55,98,30.45,80.27,41,54.51,18.07,30,41,E,36,91,88,91,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,A,Z,5,Subject Content 6 for Math,Assessment Area 6 for Math,82.91,14.9,44,5.15,72,73.99,4.4,75,4.38,55.48,3,44,E,99,86,28,11,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,A,Z,14,Subject Content 7 for Math,Assessment Area 7 for Math,93.2,66.93,54,51.25,74,3.11,17.52,66,14.34,94.96,19,20,E,3,99,45,89,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,B,C,22,Subject Content 8 for Math,Assessment Area 8 for Math,43.45,51.82,89,57.61,31,89.33,34.35,95,10.04,96.94,67,29,E,18,63,14,48,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,B,B,3,Subject Content 9 for Math,Assessment Area 9 for Math,29.19,83.46,44,12.15,35,42.43,48.02,12,56.25,86.79,73,15,E,61,9,71,3,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,D,Z,24,Subject Content 10 for Math,Assessment Area 10 for Math,10.07,96.95,67,60.68,42,98.05,20.33,100,43.19,94.68,24,40,E,63,83,87,26,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,A,A,2,Subject Content 1 for Math,Assessment Area 1 for Math,94.45,24.76,34,64.05,11,54.75,14.17,34,4.59,84.18,77,91,E,5,51,77,99,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,B,Z,7,Subject Content 2 for Math,Assessment Area 2 for Math,91.1,68.43,32,85.06,62,24.78,22.95,13,5.34,28.43,100,67,E,69,5,15,51,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,D,B,9,Subject Content 3 for Math,Assessment Area 3 for Math,17.99,46.36,67,12.91,43,30.07,71.92,93,80.79,23.24,23,22,E,82,90,47,68,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,B,D,13,Subject Content 4 for Math,Assessment Area 4 for Math,13.9,60.97,66,31.62,16,6.78,67.63,52,66,41.33,18,48,E,67,79,70,30,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,A,A,10,Subject Content 5 for Math,Assessment Area 5 for Math,10.15,51.76,78,55.8,14,73.16,42.33,57,7.41,12.96,86,67,E,17,63,23,36,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,C,A,15,Subject Content 6 for Math,Assessment Area 6 for Math,3.83,90.29,69,23.5,38,62.07,93.08,45,35.02,49.49,59,7,E,81,8,63,65,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,C,C,1,Subject Content 7 for Math,Assessment Area 7 for Math,13.7,68.92,27,57.92,19,95.22,71.13,80,83.8,22.26,50,26,E,100,75,85,29,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,D,C,20,Subject Content 8 for Math,Assessment Area 8 for Math,14.5,22.11,40,97.85,11,24.97,59.04,61,44.53,79.96,93,60,E,44,88,45,49,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,D,A,8,Subject Content 9 for Math,Assessment Area 9 for Math,31.47,52.11,99,26.6,50,44.36,78.23,12,96.73,91.32,50,58,E,27,16,52,81,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,C,C,23,Subject Content 10 for Math,Assessment Area 10 for Math,11.43,68.33,82,20.44,84,39.62,20.18,96,40.42,52.11,95,6,E,93,27,7,20,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,D,Z,25,Subject Content 1 for Math,Assessment Area 1 for Math,94.97,81.03,41,11.09,50,26.42,50.09,26,95.18,47.8,4,99,E,6,29,46,80,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,D,D,4,Subject Content 2 for Math,Assessment Area 2 for Math,71.36,60.91,14,30.19,71,54.12,7.97,91,44.26,18.57,30,33,E,25,70,89,75,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,A,C,12,Subject Content 3 for Math,Assessment Area 3 for Math,1.21,78.07,53,26.96,60,20.11,89.29,25,1.26,85.7,87,49,E,66,63,57,50,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,C,A,16,Subject Content 4 for Math,Assessment Area 4 for Math,38.07,57.87,63,30.73,29,82.17,64.26,57,29.15,88.66,44,100,E,39,47,64,19,Participation
"Christ King Catholic School, Bass Hill",2022,1,First Name 1,Last Name 1,1,Class 1,Math,A,A,11,Subject Content 5 for Math,Assessment Area 5 for Math,12.25,59.12,43,66.29,55,56.15,64.76,44,57.96,21.22,19,83,E,83,8,74,61,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,B,A,2,Subject Content 1 for Science,Assessment Area 1 for Science,77.62,41.34,34,55.1,56,92,35.14,33,72.08,91.52,95,97,E,82,24,54,50,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,C,A,14,Subject Content 2 for Science,Assessment Area 2 for Science,77.66,61.34,65,43.76,69,55.01,42.95,82,47.53,79.36,25,22,E,59,12,90,91,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,C,C,5,Subject Content 3 for Science,Assessment Area 3 for Science,57.68,48.87,41,12.86,69,59.18,81.52,98,18.91,48.51,71,22,E,41,13,100,59,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,A,C,8,Subject Content 4 for Science,Assessment Area 4 for Science,73.6,18.18,58,64.37,90,52.36,10.37,59,70.81,68.82,35,46,E,52,69,51,5,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,A,Z,15,Subject Content 5 for Science,Assessment Area 5 for Science,92.82,16.74,26,52.41,83,59.28,40.52,62,32.33,16.32,53,2,E,98,10,66,10,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,C,C,11,Subject Content 6 for Science,Assessment Area 6 for Science,72.62,27.78,97,21.52,14,0.44,25.82,91,81.98,77.44,72,60,E,21,85,97,4,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,D,A,4,Subject Content 7 for Science,Assessment Area 7 for Science,18.26,74.25,97,31.41,80,33.78,12.38,30,43.48,94.78,37,96,E,73,9,40,41,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,C,D,13,Subject Content 8 for Science,Assessment Area 8 for Science,79.19,59.07,59,25.36,83,6.46,71.55,27,49.7,43.23,69,22,E,60,76,96,67,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,D,A,25,Subject Content 9 for Science,Assessment Area 9 for Science,15.7,36.86,48,15.43,96,48.86,69.38,51,61.66,53.71,13,67,E,61,22,16,98,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,D,Z,23,Subject Content 10 for Science,Assessment Area 10 for Science,51.24,38.15,71,37.32,54,77.05,51.42,14,45.86,96.7,62,78,E,52,25,22,57,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,B,Z,19,Subject Content 1 for Science,Assessment Area 1 for Science,98.27,41.81,45,83.4,55,50,23.98,99,88.95,61.16,57,10,E,46,48,76,38,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,D,D,9,Subject Content 2 for Science,Assessment Area 2 for Science,94.16,7.46,45,18.23,35,82.44,43.15,49,21.04,37.76,86,17,E,65,80,56,57,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,A,A,6,Subject Content 3 for Science,Assessment Area 3 for Science,75.96,96.93,77,63.23,92,15.64,19.65,72,24.19,66.35,14,29,E,66,71,43,57,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,D,Z,16,Subject Content 4 for Science,Assessment Area 4 for Science,85.99,15.99,79,88.86,21,6.48,75.16,14,63.25,69.84,70,57,E,89,40,22,51,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,A,D,18,Subject Content 5 for Science,Assessment Area 5 for Science,72.73,51.63,22,14.73,13,55.2,59.27,87,21.25,9.51,36,57,E,31,39,33,69,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,A,B,20,Subject Content 6 for Science,Assessment Area 6 for Science,9.1,11.45,56,92.86,44,42.64,28.86,20,42.89,54.26,27,36,E,18,20,25,38,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,D,D,21,Subject Content 7 for Science,Assessment Area 7 for Science,50.02,65.91,49,19.43,76,41.24,4.16,30,76.91,93.11,14,48,E,65,69,36,85,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,C,Z,22,Subject Content 8 for Science,Assessment Area 8 for Science,74.18,60.01,80,19.78,35,66.05,66.35,42,91.37,23.2,97,37,E,89,40,62,41,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,C,A,1,Subject Content 9 for Science,Assessment Area 9 for Science,70.45,52.47,82,88.97,50,85.74,84.51,32,79.09,33.76,61,89,E,47,86,4,28,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,B,Z,10,Subject Content 10 for Science,Assessment Area 10 for Science,54.71,16.41,26,5.98,90,44.06,77.54,80,97.45,19.03,44,20,E,42,65,68,76,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,C,D,12,Subject Content 1 for Science,Assessment Area 1 for Science,47.21,47.53,52,85.24,74,41.87,67.74,37,36.24,17.79,21,44,E,33,88,13,71,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,A,A,3,Subject Content 2 for Science,Assessment Area 2 for Science,24.89,15.91,47,42.17,65,64.36,89.05,93,37.72,2.14,72,25,E,82,92,8,68,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,C,C,7,Subject Content 3 for Science,Assessment Area 3 for Science,15.81,56.78,58,37.75,84,53.42,49.55,64,28.1,19.22,74,49,E,86,10,80,27,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,A,B,24,Subject Content 4 for Science,Assessment Area 4 for Science,83.55,51.27,21,94.51,89,33.58,64.32,90,78.59,62.97,53,10,E,47,61,89,53,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Science,B,D,17,Subject Content 5 for Science,Assessment Area 5 for Science,52.66,36.81,95,45.78,80,13.87,15.33,94,86.46,31.18,8,34,E,66,97,100,33,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,D,B,2,Subject Content 1 for Math,Assessment Area 1 for Math,24.68,55.79,35,99.94,54,53.17,64.67,40,41.86,50.91,7,9,E,97,39,52,14,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,A,B,14,Subject Content 2 for Math,Assessment Area 2 for Math,92.86,44.78,18,41.94,84,3.36,95.78,45,26.99,22,9,59,E,65,46,86,5,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,A,C,17,Subject Content 3 for Math,Assessment Area 3 for Math,12.14,91.47,100,6.73,80,85.63,53.62,36,44.62,51.95,74,53,E,45,77,13,95,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,B,C,21,Subject Content 4 for Math,Assessment Area 4 for Math,7.6,11.14,80,93.45,80,79.91,49.92,43,90.9,8.17,36,72,E,100,21,19,58,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,C,A,23,Subject Content 5 for Math,Assessment Area 5 for Math,18.09,17.19,89,85.36,42,91.39,28.58,30,63.73,9.64,79,58,E,76,43,81,98,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,A,B,12,Subject Content 6 for Math,Assessment Area 6 for Math,83.93,43.04,77,65.42,62,73.57,79.78,74,3.21,72.84,61,81,E,1,8,100,45,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,D,C,5,Subject Content 7 for Math,Assessment Area 7 for Math,76.55,63.96,81,30.05,32,49.56,53.85,65,57.26,41.72,5,28,E,46,81,80,6,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,A,D,10,Subject Content 8 for Math,Assessment Area 8 for Math,16.48,36.81,75,28.65,91,55.43,15.4,83,93.77,57.61,60,67,E,77,90,16,70,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,A,B,18,Subject Content 9 for Math,Assessment Area 9 for Math,80.88,26.08,80,19.72,85,24.94,98.6,27,80.9,16.42,36,68,E,81,43,52,90,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,B,A,11,Subject Content 10 for Math,Assessment Area 10 for Math,64.98,55.83,93,78.33,90,25.79,8.47,15,90.88,59.88,28,53,E,33,83,61,88,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,D,A,6,Subject Content 1 for Math,Assessment Area 1 for Math,39.77,24.25,36,76.34,14,73.24,63.09,21,54.5,21.16,66,72,E,23,15,67,100,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,A,B,25,Subject Content 2 for Math,Assessment Area 2 for Math,74.32,53.96,27,91.01,88,13.25,57.61,45,37.48,96.97,23,80,E,9,66,8,17,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,B,A,1,Subject Content 3 for Math,Assessment Area 3 for Math,67.46,94.85,22,85.84,20,19.82,15.46,24,48.3,63.61,29,20,E,95,49,58,95,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,B,B,8,Subject Content 4 for Math,Assessment Area 4 for Math,38.08,10.75,99,52.56,35,71.75,69.76,20,44.97,69.9,85,93,E,37,40,5,59,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,C,C,13,Subject Content 5 for Math,Assessment Area 5 for Math,64.49,46.65,27,47.43,13,3.21,93.19,93,35.57,82.15,73,20,E,40,28,59,49,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,A,C,16,Subject Content 6 for Math,Assessment Area 6 for Math,75.09,31.47,80,92.05,88,45.38,54.12,14,95.12,96.88,87,35,E,95,75,78,58,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,A,B,20,Subject Content 7 for Math,Assessment Area 7 for Math,32.28,44.95,85,1.81,27,96.42,44.29,40,47.61,51.3,60,69,E,63,61,37,24,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,A,A,15,Subject Content 8 for Math,Assessment Area 8 for Math,53.45,76.99,18,63.76,71,65.53,41.7,52,32.52,53.84,55,13,E,20,94,51,26,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,D,B,19,Subject Content 9 for Math,Assessment Area 9 for Math,94.19,23.2,20,45.66,24,71.91,67.73,28,33.91,77.82,26,37,E,60,81,9,88,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,B,Z,24,Subject Content 10 for Math,Assessment Area 10 for Math,52.87,77.44,58,55.72,91,22.82,29.48,14,74.95,95.8,53,47,E,88,7,53,74,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,D,B,3,Subject Content 1 for Math,Assessment Area 1 for Math,76.75,33.72,14,65.35,59,15.65,14.09,12,11.81,87.77,42,57,E,20,11,48,53,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,D,A,7,Subject Content 2 for Math,Assessment Area 2 for Math,61.45,99.13,91,55.26,34,33.51,28.16,97,19.73,50.6,52,72,E,59,74,69,84,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,D,A,4,Subject Content 3 for Math,Assessment Area 3 for Math,18.02,8.87,26,44.88,86,67.74,66.73,87,60.83,41.76,95,76,E,89,77,10,72,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,C,C,9,Subject Content 4 for Math,Assessment Area 4 for Math,5.74,81.61,25,63.97,68,2.58,20.79,61,69.49,39.87,76,90,E,74,72,57,68,Participation
"Christ King Catholic School, Bass Hill",2022,2,First Name 2,Last Name 2,3,Class 3,Math,B,A,22,Subject Content 5 for Math,Assessment Area 5 for Math,37.79,49.72,93,87.33,32,47.51,2.49,52,96.98,34.99,40,10,E,85,74,66,61,Participation
"Christ King Catholic School, Bass Hill",2022,3,First Name 3,Last Name 3,6,Class 6,Science,C,B,14,Subject Content 1 for Science,Assessment Area 1 for Science,31.58,81.74,53,93.9,80,51.84,54.84,32,40.23,54.4,62,90,E,26,71,81,10,Participation
"Christ King Catholic School, Bass Hill",2022,3,First Name 3,Last Name 3,6,Class 6,Science,C,C,8,Subject Content 2 for Science,Assessment Area 2 for Science,73.08,51.34,72,89.61,52,60.93,98.48,40,44.11,48.68,92,75,E,57,20,4,73,Participation
"Christ King Catholic School, Bass Hill",2022,3,First Name 3,Last Name 3,6,Class 6,Science,A,Z,24,Subject Content 3 for Science,Assessment Area 3 for Science,30.73,0.61,84,23.5,86,5.83,42.94,27,77.13,27.41,38,41,E,41,71,16,20,Participation
"Christ King Catholic School, Bass Hill",2022,3,First Name 3,Last Name 3,6,Class 6,Science,D,A,12,Subject Content 4 for Science,Assessment Area 4 for Science,3.85,2.59,61,36.23,19,39.23,47.36,97,82.97,20.79,67,73,E,75,20,64,41,Participation
"Christ King Catholic School, Bass Hill",2022,3,First Name 3,Last Name 3,6,Class 6,Science,A,C,17,Subject Content 5 for Science,Assessment Area 5 for Science,89.15,44.17,33,27.55,55,39.71,9.85,13,37.74,13.78,52,6,E,84,29,91,70,Participation
